symbol,intrinsic_value
AALI.JK,7752.227065980855
ABMM.JK,15437.821580255582
ACES.JK,621.089243094777
ADCP.JK,47.66913180234451
ADES.JK,10829.466600371521
ADHI.JK,96.35830061064209
ADMF.JK,17280.667007292504
ADMR.JK,1110.3199967601533
ADRO.JK,7231.7995111924665
AGII.JK,339.673076895895
AGRO.JK,5.091541296530952
AGRS.JK,35.61388112763133
AKPI.JK,941.1179956543449
AKRA.JK,1001.8757882713819
AKSI.JK,87.78200878552033
ALDO.JK,382.2766934781694
ALKA.JK,695.1547445037078
AMFG.JK,7056.966907463732
AMIN.JK,107.17821643019435
AMRT.JK,864.1003566233383
ANJT.JK,196.11744303029982
ANTM.JK,1678.4642707614996
APIC.JK,119.86188278312005
APII.JK,163.7243618247567
APLI.JK,372.15598024987617
ARCI.JK,245.65730326268164
ARII.JK,117.68580820492143
ARKA.JK,19.68805107900081
ARKO.JK,120.02599775803623
ARNA.JK,1132.3735266492026
ARTA.JK,201.20866437355883
ASBI.JK,359.1673298462044
ASDM.JK,1415.7253218010137
ASGR.JK,796.868800234155
ASII.JK,10308.206611745585
ASJT.JK,4.238114710284619
ASLC.JK,9.88678587147116
ASRI.JK,485.31796589125656
ASRM.JK,2742.97278138763
ASSA.JK,211.7657343572451
ATAP.JK,28.02489373461094
AUTO.JK,2981.2723054496173
AVIA.JK,374.82693487263884
AWAN.JK,16.59256732853477
BABP.JK,10.462489574660719
BACA.JK,12.49599487259968
BALI.JK,542.0894081933811
BAUT.JK,11.39036676045049
BAYU.JK,1796.1854551175973
BBCA.JK,6158.0680505689115
BBHI.JK,66.38611305149969
BBLD.JK,429.5114826943603
BBMD.JK,861.7544397409148
BBNI.JK,5089.466724722111
BBRI.JK,2935.091492334929
BBTN.JK,2079.835980198262
BCAP.JK,24.70670763430391
BCIP.JK,82.3390192925577
BDMN.JK,3035.1642099021437
BEER.JK,31.345893936488466
BEST.JK,22.889252869844718
BFIN.JK,824.5384371044587
BGTG.JK,14.514778071824473
BHAT.JK,5.160032210308709
BHIT.JK,87.64954289737418
BIKE.JK,294.7009058978376
BINA.JK,209.9527566924611
BINO.JK,25.885514755731638
BIPI.JK,50.83404333249161
BIRD.JK,1470.9672234812292
BISI.JK,1862.3274121361337
BJBR.JK,2039.140036004093
BJTM.JK,1529.059539515517
BLTA.JK,89.2277287008331
BMAS.JK,85.27747353941784
BMHS.JK,68.28543858794369
BMRI.JK,5921.21491099099
BMSR.JK,1642.7016393538865
BMTR.JK,1035.8564130069342
BNBA.JK,92.35945360407443
BNBR.JK,117.95488033762264
BNGA.JK,2047.284737691967
BNII.JK,152.4292448409174
BNLI.JK,452.6019854383629
BOGA.JK,37.12763786999305
BOLA.JK,24.110342709488688
BOLT.JK,500.3204350186853
BPFI.JK,215.43234014853473
BPII.JK,7891.236006061209
BPTR.JK,59.12786357925085
BRAM.JK,7146.290114668462
BRIS.JK,992.3049710854325
BRMS.JK,15.109795372991476
BRPT.JK,35.470413745458686
BSDE.JK,1215.7026819760326
BSIM.JK,67.72605713870541
BSSR.JK,12327.851065435945
BSWD.JK,92.22362153800574
BTPN.JK,3430.926495206918
BTPS.JK,2138.3317666745447
BUDI.JK,214.21269306272657
BUKK.JK,2495.5526235742054
BUMI.JK,328.5966866001494
BVIC.JK,70.54630168265223
BYAN.JK,13471.729099742422
CAKK.JK,42.199245011104885
CASA.JK,4.734388597591287
CASS.JK,461.96318797473594
CBPE.JK,114.73178295716114
CBRE.JK,21.561999974565026
CCSI.JK,188.9181190623732
CFIN.JK,1410.2819452789474
CITA.JK,1761.418297043519
CLEO.JK,189.93837455942855
CLPI.JK,1555.7767899781497
CMNP.JK,2012.4696519150873
CMRY.JK,1483.8438046293677
CNMA.JK,2.7722441422028155
CPIN.JK,1780.8521906052972
CPRO.JK,77.5156761098693
CRAB.JK,34.94406394713662
CSAP.JK,415.1817326474608
CSIS.JK,49.38556113741844
CSRA.JK,637.7282909214455
CTRA.JK,1135.9682151769632
DCII.JK,2662.162167154424
DEWI.JK,39.284015511258005
DGIK.JK,31.223213168133963
DGNS.JK,24.002407046424263
DMAS.JK,393.05128254449966
DMMX.JK,19.784842157397936
DMND.JK,410.32654764843033
DNAR.JK,10.270825440591231
DNET.JK,740.0459675255654
DOID.JK,302.17613783664973
DRMA.JK,1063.5712026405195
DSFI.JK,63.339977631641375
DSNG.JK,1073.9739758371477
DSSA.JK,87334.02940219393
DUTI.JK,4522.43750225537
DVLA.JK,1086.6260963214659
DWGL.JK,17.27652110887822
DYAN.JK,78.20230427295803
EAST.JK,103.86809116094761
ECII.JK,70.88889460891689
EDGE.JK,7791.851075870542
EKAD.JK,211.72961070590327
ELPI.JK,134.77702241338378
ELSA.JK,405.2244510335188
EMTK.JK,703.7599264948112
ENAK.JK,247.2695686611263
ENRG.JK,375.84515166801486
ENZO.JK,2.9358860282000974
EPMT.JK,3929.4929847928875
ERAA.JK,609.045510988419
ERTX.JK,280.2933939193229
ESIP.JK,3.351485108878056
ESSA.JK,236.5929446189402
ESTA.JK,22.91634518320047
ESTI.JK,25.50926144053999
EXCL.JK,956.4917835812842
FAPA.JK,729.0123830688457
FASW.JK,94.58872931041988
FISH.JK,7481.705318227676
FMII.JK,54.77291847039257
FPNI.JK,30.87548966143963
FUJI.JK,30.685290706008065
FWCT.JK,114.05010937477394
GDST.JK,192.50580263933702
GEMA.JK,129.55632873402732
GEMS.JK,17578.799203634244
GGRM.JK,33716.16338354713
GGRP.JK,454.3429590834151
GHON.JK,2712.1663005523055
GLVA.JK,430.72765652000766
GOLD.JK,168.17262608929948
GOOD.JK,134.85760493431664
GPRA.JK,164.18001212917272
GSMF.JK,2.2300189047171726
GTBO.JK,690.7791256019303
GTSI.JK,51.53625701088633
GWSA.JK,19.16014372413803
HAIS.JK,434.43544152706215
HALO.JK,86.30328739940234
HDFA.JK,0.7489642145218274
HEAL.JK,277.49250140643886
HEXA.JK,12293.238668279866
HILL.JK,786.05570336374
HITS.JK,188.34832880490254
HMSP.JK,913.907244527575
HOKI.JK,7.7535826211871335
HOPE.JK,1.865304624071163
HRTA.JK,891.843475886075
HRUM.JK,3956.8316266356373
IATA.JK,271.6144393923205
