symbol,intrinsic_value
ABMM.JK,13938.917478599265
ACES.JK,720.7674604383662
ADCP.JK,52.96633850147565
ADES.JK,12869.011342711538
ADHI.JK,119.3855879012192
ADMF.JK,17933.341417834068
ADMR.JK,2064.8443456089058
ADRO.JK,5683861.252664747
AGII.JK,494.3266020469372
AISA.JK,22.120362331656306
AKRA.JK,1351.0460056509337
AKSI.JK,88.16394878148344
ALDO.JK,262.3154286881924
ALKA.JK,723.8401137302361
AMFG.JK,11626.153654141832
AMIN.JK,156.9913748992682
AMMN.JK,529.9751741585648
AMOR.JK,702.196722776931
AMRT.JK,900.0398289273816
ANJT.JK,119.1348640195531
ANTM.JK,885.2776170022311
APIC.JK,87.43220907421907
APII.JK,167.31366346051655
APLI.JK,411.2183446189841
APLN.JK,199.21825914655
ARCI.JK,238.92079345570824
ARKA.JK,31.744891712889594
ARKO.JK,110.20153836651946
ARNA.JK,992.6870337693297
ARTA.JK,70.04503170976066
ASBI.JK,384.71681887175083
ASDM.JK,549.1387155270814
ASGR.JK,914.0528908311438
ASII.JK,12169.583727790572
ASJT.JK,4.448200393437625
ASMI.JK,11.051184142806104
ASRI.JK,321.16268994267676
ASRM.JK,2064.857620484668
ASSA.JK,395.7181252658521
ATAP.JK,28.06524464417701
ATIC.JK,444.43658097060126
AUTO.JK,3994.877086824007
AVIA.JK,486.7381581504472
AWAN.JK,13.48869776694047
BACA.JK,25.393064172918063
BALI.JK,403.9525556122362
BAUT.JK,13.986090190639073
BAYU.JK,1529.3852454060234
BBHI.JK,169.04650019097028
BBLD.JK,459.9015742515527
BBNI.JK,7567.372925002587
BBRI.JK,5146.001748149976
BBTN.JK,2276.428400864364
BCAP.JK,12.936651291784727
BCIP.JK,92.40982352873925
BDMN.JK,2717.4035839342296
BEEF.JK,14.972320973511621
BEER.JK,35.07424781040495
BFIN.JK,977.1269420674029
BGTG.JK,21.906618895750494
BHAT.JK,6.253097732992778
BHIT.JK,45.264079283410496
BINA.JK,243.50583036210256
BINO.JK,31.16010084544616
BIPI.JK,44.45084780657227
BIRD.JK,2096.0773076094233
BISI.JK,2931.4221656178443
BJBR.JK,2068.7374513740074
BJTM.JK,1421.786953772501
BKSL.JK,8.32875142059006
BLTA.JK,69.48001006059636
BMHS.JK,58.46785847216696
BMRI.JK,8081.447883437451
BMSR.JK,1850.3119775758387
BNBA.JK,117.57065215446693
BNBR.JK,93.89760715392818
BNGA.JK,2923.4264302358033
BNII.JK,179.04865812028635
BNLI.JK,778.8988557202562
BOGA.JK,20.970750738045325
BOLT.JK,382.8873469016818
BPFI.JK,325.9280183842507
BPII.JK,992.4486222640592
BPTR.JK,74.73265420713338
BRAM.JK,5701.79817250867
BREN.JK,113.88215831065932
BRIS.JK,1618.251949124688
BRPT.JK,35.720710461951896
BSBK.JK,10.603946135971157
BSDE.JK,1093.7271019537031
BSSR.JK,14127.932068999078
